Country,City,Weekday mean,Weekend mean,Daily mean,Year
FI,Rovaniemi,2.59,3.73,3.24,2020-01-01
SK,Piestany,2.81,3.55,3.23,2013-01-01
FI,Kotka,1.97,4.11,3.19,2016-01-01
FI,Jyväskylä,3.36,3.02,3.17,2018-01-01
TR,Adana,3.27,2.99,3.11,2019-01-01
FI,Jyväskylä,3.01,3.02,3.01,2020-01-01
FI,Mikkeli,2.62,3.25,2.98,2020-01-01
FI,Oulu,1.84,3.43,2.75,2018-01-01
GR,Mytilene,1.23,3.72,2.65,2015-01-01
SE,Umea,1.98,3.12,2.63,2011-01-01
CZ,Budweis,2.28,2.79,2.58,2013-01-01
FI,Lappeenranta,3.16,2.12,2.57,2018-01-01
FI,Mikkeli,2.6,2.36,2.47,2018-01-01
FI,Savonlinna,1.5,2.71,2.19,2020-01-01
FI,Joensuu,2.79,1.51,2.06,2018-01-01
FI,Kemi,2.59,1.52,1.98,2018-01-01
FI,Salo,2.04,1.81,1.91,2020-01-01
FI,Savonlinna,1.79,1.96,1.89,2018-01-01
FI,Kuopio,1.11,2.44,1.87,2018-01-01
FI,Kemi,1.31,2.27,1.86,2020-01-01
FI,Vaasa,1.73,1.89,1.82,2020-01-01
FI,Turku,0.96,2.44,1.8,2016-01-01
FI,Joensuu,1.56,1.88,1.74,2020-01-01
FI,Lappeenranta,1.78,1.7,1.74,2014-01-01
FI,Rovaniemi,2.34,0.93,1.53,2016-01-01
FI,Turku,1.37,1.57,1.49,2014-01-01
FI,Lappeenranta,1.73,1.26,1.47,2020-01-01
FI,Vaasa,1.24,1.3,1.27,2018-01-01
FI,Kuopio,0.86,1.35,1.14,2016-01-01
FI,Rauma,1.09,1.04,1.06,2020-01-01
FI,Tampere,0.77,1.17,1.0,2014-01-01
FI,Kajaani,1.36,0.6,0.93,2020-01-01
FI,Joensuu,0.95,0.86,0.9,2016-01-01
FI,Seinäjoki,1.0,0.83,0.9,2018-01-01
FI,Vaasa,0.72,0.95,0.85,2014-01-01
FI,Turku,0.78,0.9,0.85,2015-01-01
FI,Kokkola,0.64,0.97,0.83,2018-01-01
FI,Kokkola,0.85,0.68,0.75,2020-01-01
FI,Savonlinna,0.7,0.44,0.55,2014-01-01
FI,Rovaniemi,0.46,0.35,0.39,2014-01-01
FI,Kajaani,0.45,0.3,0.36,2018-01-01
FI,Joensuu,1.31,0.94,0.35,2014-01-01
FI,Oulu,0.27,0.3,0.28,2014-01-01
FI,Jyväskylä,0.27,0.24,0.25,2014-01-01
FI,Pietarsaari,0.15,0.26,0.22,2020-01-01
RO,Cluj Napoca,0.0,0.0,0.0,2013-01-01
FI,Vaasa,0.0,0.0,0.0,2016-01-01
FI,Oulu,0.0,0.0,0.0,2016-01-01
FI,Lappeenranta,0.0,0.0,0.0,2016-01-01
SE,Umea,0.0,0.0,0.0,2012-01-01
FI,Turku,0.0,0.0,0.0,2012-01-01
FI,Jyväskylä,0.0,0.0,0.0,2016-01-01
FI,Savonlinna,0.0,0.0,0.0,2016-01-01
