Country,City,Weekday mean,Weekend mean,Daily mean,Year
BE,Brussels,354.68,463.44,416.83,2016-01-01
NL,Utrecht,393.84,430.18,414.6,2018-01-01
FR,Paris Seine Centre,416.87,405.85,410.58,2020-01-01
BE,Antwerp Deurne,374.45,436.0,409.62,2016-01-01
AT,Kufstein,360.62,436.61,404.04,2020-01-01
ES,Valencia (3),328.07,456.57,401.5,2013-01-01
IT,Milan,348.0,437.07,401.44,2020-01-01
ES,Barcelona,367.0,425.78,400.59,2012-01-01
FR,Fort-de-France P,402.74,397.12,398.99,2017-01-01
HR,Zagreb,334.69,441.19,395.55,2019-01-01
CH,St. Gallen Hofen,327.79,444.47,394.46,2013-01-01
IT,Bozen,337.86,434.63,393.16,2018-01-01
NL,Amsterdam,344.85,429.11,393.0,2013-01-01
DE,Hamburg (2),323.25,445.04,392.84,2017-01-01
GB,London,361.2,424.22,392.71,2011-01-01
GB,Bristol,245.65,498.98,390.41,2016-01-01
CH,Lugano,356.64,399.41,381.08,2016-01-01
NL,Eindhoven,330.04,406.23,380.83,2014-01-01
DE,Dortmund,329.04,416.62,379.08,2018-01-01
ES,Valencia (3),370.25,384.1,378.16,2014-01-01
IT,Bozen,314.72,425.08,377.79,2019-01-01
DE,Dortmund,314.73,419.82,374.78,2019-01-01
BE,Brussels,336.8,401.56,373.81,2017-01-01
CH,Geneva,298.62,410.87,373.45,2013-01-01
ES,Castellon,368.74,373.7,371.57,2011-01-01
PT,Lisbon,343.67,382.4,365.8,2020-01-01
CH,Berne,355.4,372.34,365.08,2014-01-01
ES,Castellon,310.83,405.05,364.67,2016-01-01
BE,Antwerp Deurne,268.51,435.21,363.77,2014-01-01
IT,Milan,352.0,369.84,362.19,2018-01-01
NL,Utrecht,336.92,370.91,356.34,2011-01-01
ES,Santiago,255.4,424.7,352.14,2018-01-01
CH,St. Gallen Hofen,274.55,408.32,350.99,2014-01-01
NL,Eindhoven,285.03,398.43,349.83,2012-01-01
NL,Utrecht,287.28,387.88,344.77,2012-01-01
DE,Berlin (4),306.05,370.85,343.08,2018-01-01
ES,Santiago,253.35,409.68,342.68,2017-01-01
DK,Copenhagen,284.12,385.06,341.8,2014-01-01
IT,Milan,302.44,370.67,341.43,2017-01-01
CH,Geneva,381.05,311.23,341.15,2012-01-01
DK,Copenhagen,244.05,406.98,337.15,2015-01-01
ES,Valencia (3),290.27,371.45,336.66,2015-01-01
SI,Ljubljana,309.05,356.29,336.05,2020-01-01
AT,Innsbruck,285.91,372.71,335.51,2018-01-01
IT,Bozen,295.15,361.56,333.1,2020-01-01
AT,Innsbruck,290.06,359.91,329.97,2019-01-01
PT,Porto,339.91,322.3,329.85,2020-01-01
CH,Berne,299.41,345.43,325.71,2016-01-01
FR,Paris Seine Centre,222.14,400.81,324.24,2017-01-01
DE,Dortmund,285.29,353.29,324.14,2013-01-01
SE,Stockholm (2),232.08,391.77,323.34,2020-01-01
NL,Eindhoven,150.1,452.75,323.04,2015-01-01
SI,Koper,317.6,324.39,320.99,2020-01-01
AT,Innsbruck,276.69,353.65,320.67,2020-01-01
ES,Castellon,285.92,344.68,319.5,2017-01-01
NL,Nieuwegein Ijssel.,252.72,366.35,317.65,2017-01-01
ES,Madrid VdlV,275.23,347.41,316.47,2018-01-01
BE,Antwerp Deurne,317.08,314.54,315.63,2012-01-01
CH,Lausanne,253.48,359.25,313.92,2015-01-01
CH,Lausanne,254.26,355.12,311.89,2014-01-01
NL,Utrecht,272.94,338.43,310.36,2016-01-01
IT,Milan,297.34,313.53,306.59,2016-01-01
GB,Bristol,238.38,357.16,306.25,2015-01-01
DE,Dortmund,307.85,302.92,305.04,2020-01-01
DE,Hannover (2),248.69,343.57,302.91,2017-01-01
ES,Castellon,363.1,246.51,296.47,2018-01-01
DE,Berlin (4),282.36,296.78,290.6,2017-01-01
SI,Ljubljana,259.45,319.31,289.38,2018-01-01
NL,Utrecht,271.54,301.64,288.74,2017-01-01
IS,Reykjavik Klettagarðar,231.54,322.03,283.25,2020-01-01
CH,Basel,276.35,284.87,281.22,2012-01-01
DE,Dortmund,249.97,294.59,275.46,2015-01-01
FR,Paris Seine Centre,222.02,312.18,273.54,2019-01-01
CY,Limassol,246.5,291.8,272.39,2019-01-01
PT,Lisbon,270.57,272.11,271.6,2017-01-01
NO,Oslo,217.31,311.15,270.93,2014-01-01
CZ,Prague,243.01,286.63,267.94,2020-01-01
CH,Berne,252.98,274.89,265.5,2012-01-01
PT,Porto,225.43,293.54,264.35,2019-01-01
CH,Berne,241.9,281.16,264.34,2013-01-01
PT,Lisbon,238.03,284.06,264.33,2015-01-01
FR,Bordeaux I,192.71,316.23,263.29,2017-01-01
ES,Castellon,218.86,296.04,262.96,2012-01-01
ES,Valencia (3),165.37,333.82,261.63,2016-01-01
SI,Novo mesto,171.54,325.63,259.59,2019-01-01
PT,Lisbon,235.86,274.53,257.96,2016-01-01
FR,Bordeaux I,241.26,268.38,256.76,2019-01-01
NL,Oudewater,156.96,322.53,251.57,2017-01-01
BE,Oostende,249.44,249.33,249.38,2019-01-01
GB,Bristol,192.54,290.11,248.3,2014-01-01
SI,Domžale-Kamnik,181.25,298.01,247.97,2019-01-01
FR,Bordeaux I,214.08,269.99,246.03,2016-01-01
BE,Ruisbroek (Puurs),225.96,260.22,245.54,2017-01-01
DE,Dortmund,267.38,225.17,243.26,2014-01-01
FR,Paris Seine Centre,195.67,277.91,242.66,2013-01-01
IT,Milan,211.05,264.78,241.75,2012-01-01
CH,Lugano,247.7,235.28,240.6,2014-01-01
ES,Santiago,144.74,311.4,239.97,2012-01-01
NO,Oslo,189.24,277.58,239.72,2020-01-01
IT,Milan,221.98,251.5,238.85,2011-01-01
SI,Maribor,177.91,282.18,237.5,2019-01-01
IT,Milan,224.29,245.75,236.55,2019-01-01
DE,Munich Gut_Grosslappen,182.93,275.27,235.7,2019-01-01
BE,Merchtem,226.69,240.84,234.78,2017-01-01
HR,Zagreb,208.55,254.03,234.54,2018-01-01
FR,Paris Seine Centre,192.97,264.7,233.96,2014-01-01
IT,Milan,196.89,260.38,233.17,2013-01-01
